repo_full_name,Chart.yaml,values.*.yaml,templates/,charts/,helm_release,helm_install,kustomize,terraform_manifest
Arsenet7/revive-new,0,0,0,0,0,0,0,0
Arsh-Git1/training,0,0,0,0,0,0,0,0
ArtemStolbchenko/content-service,0,0,0,0,0,0,0,0
Arthur-Luciani/rautazap-ws-management,0,0,0,0,0,1,0,0
ArthurVardevanyan/HomeLab,0,0,0,0,0,0,20,0
ArthurVardevanyan/k8s-federated-credential-api,0,0,0,0,0,0,0,0
ArunMagi/kubernetes,0,0,0,0,0,0,0,0
Arunzion/zionix-be-v1,0,0,0,0,0,0,4,0
AsfarHorani/Cloud-Computing-Project,0,0,0,0,0,0,0,0
Ashish-200/config-service,0,0,0,0,0,0,0,0
Ashwini0709/Kubernetes-learnings,0,0,0,0,0,0,0,0
AssasinDEAD/DistKubernates,0,0,0,0,0,0,0,0
Asteorid/k8slessonadvit,0,0,0,0,0,0,0,0
AtkinYaliz/ylz-iam-service,0,0,0,0,0,0,0,0
Atlan-test/Atlantest,0,0,0,0,0,0,0,0
AtlasOrionL/orion-vision-core,0,0,0,0,0,2,0,0
AustinOrphan/running-app-mvp,0,0,0,0,0,0,0,0
AvAOtaku/HPA-Ingress,0,0,0,0,0,0,0,0
AvaPrime/codessa-platform,0,0,0,0,0,2,0,0
AverageMarcus/cluster.fun,0,0,0,0,0,0,0,0
AvishkarLakade3119/K8s-chat-app,0,0,0,0,0,0,0,0
