repo_full_name,path,html_url
JustZing/Helm-Argocd,hpa/hpa.yml,https://github.com/JustZing/Helm-Argocd/blob/d15213ce905f701dcc6bf4216e1c7386c0b11ec9/hpa/hpa.yml
raghudevopsb79/learn-kubernetes,15-hpa.yaml,https://github.com/raghudevopsb79/learn-kubernetes/blob/5fb236e502d87e297cb3afd434f1929bacdff328/15-hpa.yaml
MartinHeinz/metrics-on-kind,hpa.yaml,https://github.com/MartinHeinz/metrics-on-kind/blob/f1f79870e949d1039b06674bbc05ad3fd3f2ac87/hpa.yaml
zadi2712/demoGH,main.yml,https://github.com/zadi2712/demoGH/blob/451c9ce8b6eb6571c8fcaf43705b2b767c8e82ba/main.yml
loh-sh/assignment-kubernetes,hpa.yaml,https://github.com/loh-sh/assignment-kubernetes/blob/e4e7564bcf7411a9fc632ffa7148adc4962e270b/hpa.yaml
Rackal337/k8s,hpa.yaml,https://github.com/Rackal337/k8s/blob/fae72ecea25e23012281e5a1092e16bf5b29d214/hpa.yaml
SukhOberoi/hello-k8s,hpa.yaml,https://github.com/SukhOberoi/hello-k8s/blob/26a01d41a76e1a53faaf6c9a41a05b190293e2ff/hpa.yaml
Panemiele/AriaPlus,keda.yaml,https://github.com/Panemiele/AriaPlus/blob/e06560adc855ee35fefaee06d3092f52c01ebee0/keda.yaml
hamropatro/helm-charts,charts/msg-service/templates/hpa.yaml,https://github.com/hamropatro/helm-charts/blob/9c97d8a75107c06e38939b3e4c791c088f09713d/charts/msg-service/templates/hpa.yaml
day112/go-zero-bookstore,addrpc.yaml,https://github.com/day112/go-zero-bookstore/blob/b82b66f487eb028e5cf6b464a1e924fa0bbf85c5/addrpc.yaml
day112/go-zero-bookstore,apirpc.yaml,https://github.com/day112/go-zero-bookstore/blob/b82b66f487eb028e5cf6b464a1e924fa0bbf85c5/apirpc.yaml
openedx-actions/tutor-k8s-configure-autoscaling-policy,action.yml,https://github.com/openedx-actions/tutor-k8s-configure-autoscaling-policy/blob/8adc882a3fae7717832c0c148b54c08010817e46/action.yml
inevity/k8smetal,hpa-v2.yaml,https://github.com/inevity/k8smetal/blob/af24d8ffbf6025e6fabb316109c64b998c5abe41/hpa-v2.yaml
APCichewicz/cluster,ansible/k3s_way/values/traefik_values_full.yaml,https://github.com/APCichewicz/cluster/blob/959bbad00a50398ceefcb89de87649a39c76c1dd/ansible/k3s_way/values/traefik_values_full.yaml
