repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
heemmanshuu/Audit_LLM_SecConFig,heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/statcan_fdi-dotstatsuite.yaml,autoscaling/v2,False,False,42286,Resource,cpu,LARGE_YAML
waelaissi/pfe-kubernetes,waelaissi,pfe-kubernetes,deployments/front-hpa.yaml,autoscaling/v2,False,False,368,Resource,cpu,UNKNOWN
tis-system/charts,tis-system,charts,charts/istio/1.16.4/istio-control/istio-discovery/files/gen-istio.yaml,autoscaling/v2,True,False,107455,Resource,cpu,HELM_TEMPLATED
tis-system/charts,tis-system,charts,charts/istio/1.16.4/istio-control/istio-discovery/files/gen-istio.yaml,autoscaling/v2,True,False,107455,Resource,cpu,LARGE_YAML
eizaburo/simple-3container-202507,eizaburo,simple-3container-202507,my_kuber_manifest.yml,autoscaling/v2,False,False,2753,Resource,cpu,UNKNOWN
tushardashpute/hpa_custom_metrics,tushardashpute,hpa_custom_metrics,5-demo/3-hpa-http-requests.yaml,autoscaling/v2beta2,False,False,793,Pods,http_requests_per_second,UNKNOWN
tushardashpute/hpa_custom_metrics,tushardashpute,hpa_custom_metrics,5-demo/3-hpa-http-requests.yaml,autoscaling/v2beta2,False,False,793,Resource,cpu,UNKNOWN
reedu-reengineering-education/foodmission-data-framework,reedu-reengineering-education,foodmission-data-framework,k8s/patches/production.yaml,autoscaling/v2,False,False,930,Resource,cpu,UNKNOWN
reedu-reengineering-education/foodmission-data-framework,reedu-reengineering-education,foodmission-data-framework,k8s/patches/production.yaml,autoscaling/v2,False,False,930,Resource,memory,UNKNOWN
elioseverojunior/take-home-assignment,elioseverojunior,take-home-assignment,linux/additional_resources.yaml,autoscaling/v2,True,False,5942,Resource,cpu,HELM_TEMPLATED
elioseverojunior/take-home-assignment,elioseverojunior,take-home-assignment,linux/additional_resources.yaml,autoscaling/v2,True,False,5942,Resource,cpu,LARGE_YAML
elioseverojunior/take-home-assignment,elioseverojunior,take-home-assignment,linux/additional_resources.yaml,autoscaling/v2,True,False,5942,Resource,memory,HELM_TEMPLATED
elioseverojunior/take-home-assignment,elioseverojunior,take-home-assignment,linux/additional_resources.yaml,autoscaling/v2,True,False,5942,Resource,memory,LARGE_YAML
santhoshmp/LearningPlanner,santhoshmp,LearningPlanner,.kiro/specs/child-progress-module/deployment/kubernetes/child-progress-deployment.yaml,autoscaling/v2,False,False,10296,Resource,cpu,LARGE_YAML
santhoshmp/LearningPlanner,santhoshmp,LearningPlanner,.kiro/specs/child-progress-module/deployment/kubernetes/child-progress-deployment.yaml,autoscaling/v2,False,False,10296,Resource,memory,LARGE_YAML
santhoshmp/LearningPlanner,santhoshmp,LearningPlanner,.kiro/specs/child-progress-module/deployment/kubernetes/child-progress-deployment.yaml,autoscaling/v2,False,False,10296,Resource,cpu,LARGE_YAML
santhoshmp/LearningPlanner,santhoshmp,LearningPlanner,.kiro/specs/child-progress-module/deployment/kubernetes/child-progress-deployment.yaml,autoscaling/v2,False,False,10296,Resource,memory,LARGE_YAML
torpedowf/sf_kuber,torpedowf,sf_kuber,D3.4-main/manifest_deploy.yaml,autoscaling/v2,False,False,1724,Resource,cpu,UNKNOWN
torpedowf/sf_kuber,torpedowf,sf_kuber,D3.4-main/manifest_deploy.yaml,autoscaling/v2,False,False,1724,Resource,memory,UNKNOWN
ruslanbaba/Zero-Downtime-OpenStack-Upgrades-with-Blue-Green-Control-Plane,ruslanbaba,Zero-Downtime-OpenStack-Upgrades-with-Blue-Green-Control-Plane,kubernetes/keystone-green.yaml,autoscaling/v2,False,False,2592,Resource,cpu,UNKNOWN
