Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
norman6464,EKS-practice,eks-practice-materials/webapp-practice/sample/10_cluster-autoscaler/manifests/overlays/prod/webapp/hpa.yaml,autoscaling/v2,False,144
weslleyrosalem,fiap-aso6-ocp,hpa-scale.yml,autoscaling/v2beta2,False,405
am4am5,kubernetes,hpa_container.yml,autoscaling/v2beta2,False,1038
KRISHNAHARI0618,DevOps,Kubernetes/Kuber-Deploy-Strat/05-HPA/03_HPA.yaml,autoscaling/v1,False,265
rosehs00,k8s-manifest-repo,base/flask-hpa.yaml,autoscaling/v1,False,292
fabershaun,todo-k8s,overlays/3-with-hpa/frontend-hpa.yaml,autoscaling/v2,False,375
pankajmutha14,hpa-metric-server,HPA yml/HPA.yml,autoscaling/v1,False,265
haetsalshin92,front-app-repo,base/flask-hpa.yaml,autoscaling/v1,False,292
aarya127,CareLoop,infrastructure/kubernetes/web/hpa.yaml,autoscaling/v2,False,388
jpvzyl,yqa-load-testing,k8s/worker-deployment.yaml,autoscaling/v2,False,3421
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40-mem-80/hpa-redis-cart-cpu-40-mem-80.yaml,autoscaling/v2,False,592
mermeydan,DevOps-Workshop,Kubernetes/kubernetes-04-microservice-deployment-and-autoscaling/microservices-yaml-files/auto-scaling/hpa-web.yaml,autoscaling/v1,False,256
tarsoqueiroz,aboutContainers,Kubernetes/Kubernetes from Scratch/manifests/sec09/resources/hpa-template.yaml,autoscaling/v2,False,546
evankanderson,knative-config-packaging,base/knative-eventing/knative-eventing/0.25.2/4-mt-channel-broker.yaml,autoscaling/v2beta2,False,18615
dlsu-lscs,leap-infra,overlays/production/hpa/backend-hpa.yaml,autoscaling/v2,False,369
brancomrt,Descomplicando_Kubernetes,day-14/primeiro-hpa.yaml,autoscaling/v2,False,1013
AFKD98,LLM_devops,config/generated_configs/dask/qwen_comb_cot/level_5/config_6.yaml,autoscaling/v2beta2,False,1637
revjkee,aethernova,core-systems/datafabric-core/ops/k8s/base/hpa.yaml,autoscaling/v2,False,2353
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/wireguard_wireguard.yaml,autoscaling/v1,False,13136
manoelvsneto,BES_DEVOPS_K8S,k8s/hpa.yaml,autoscaling/v2,False,893
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-60-mem-40/hpa-frontend-cpu-60-mem-40.yaml,autoscaling/v2,False,590
zxkane,sdlc-workshop,base/demo/podinfo/hpa.yaml,autoscaling/v2beta1,False,397
rytswd,get-istio-multicluster,clusters/bison/istio/installation/generated-manifests/1.8.5/before-retiring/istio-control-plane-install.yaml,autoscaling/v2beta1,False,222778
Ybelayachi,Fleet-App,k8s/hpa.yaml,autoscaling/v2,False,770
AFKD98,LLM_devops,Optimizations_Final/DeepSeek/generated_configs/dask/codellama34binstruct/level_3/config_4.yaml,autoscaling/v2beta1,False,1150
herbert-li,fibonacci-seq-deploy,overlays/dev/hpa-patch.yaml,autoscaling/v2,False,383
alexdragnea,Ds_TextSummary,manifests/hpa.yaml,autoscaling/v1,False,260
JuanCS-Dev,V-rtice,k8s/subordinates/maba/deployment.yaml,autoscaling/v2,False,7531
swinton,appmesh-dev,base/demo/podinfo/hpa.yaml,autoscaling/v2beta1,False,397
resource-watch,adapter-gfw,k8s/production/hpa.yaml,autoscaling/v1,False,275
karthi07,hasura-next-todo,k8s-manifest/tutorials/backend/hasura/tutorial-site-zh/hpa.yaml,autoscaling/v2beta2,False,524
AFKD98,LLM_devops,Optimizations_Final/DeepSeek/generated_configs/dask/codellama34binstruct_fsl/level_3/config_4.yaml,autoscaling/v2beta1,False,1150
igorosilva,rss-feed,overlays/prod/hpa.yaml,autoscaling/v2,False,501
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40/hpa-recommendationservice-cpu-40.yaml,autoscaling/v2,False,444
smarquezs,app,kube/app.yaml,autoscaling/v2beta2,False,2336
APICerberus,APICerberus,deployments/kubernetes/base/hpa.yaml,autoscaling/v2,False,986
Yerkebulan-Ardabayev,ai-proxy-gateway,k8s/hpa.yaml,autoscaling/v2,False,359
oscardavidtorres12345,miso-proyecto-final,travelhub-experiment/infrastructure/k8s/payment-hpa.yaml,autoscaling/v2,False,732
bertux,sdlc-workshop,base/demo/podinfo/hpa.yaml,autoscaling/v2beta1,False,397
AlexCang,devOps,hpa-dapoerjengsri.yaml,autoscaling/v2,False,362
batuhan-basay,test-manifests,dev/hpa.yaml,autoscaling/v2,False,527
Arsenet7,revive-new,Kubernetes/orders.yaml,autoscaling/v2,False,1830
golibs-starter,golib-sample,k8s/internal/main.uat.yml,autoscaling/v1,False,2296
Adarsh097,ecommerce-devops-project,kubernetes/11-hpa.yaml,autoscaling/v2,False,374
log2,sdlc-workshop,base/demo/podinfo/hpa.yaml,autoscaling/v2beta1,False,397
ReguiguiMohamed,hybrid-real-time-fraud-detection-tunisia,k8s/api.yml,autoscaling/v2,False,4395
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40-mem-40/hpa-cartservice-cpu-40-mem-40.yaml,autoscaling/v2,False,596
Kaifengsun,enterprise-safety-LLM-platform,deploy/k8s/deployment.yaml,autoscaling/v2,False,1715
purnachandraredddy,Akamai-Project,k8s/hpa.yaml,autoscaling/v2,False,897
skqwk,RockutorApp,k8s/editor/editor-app.yaml,autoscaling/v2,False,3165
cerobreath,aws-squad,k8s/apps/hpa-retail-store.yaml,autoscaling/v2,False,1145
