Owner,Project,File Path,Is Helm Template,apiVersion,ScaleTargetRef Kind,Has Behavior,Behavior ScaleUp StabilizationWindow,Behavior ScaleUp SelectPolicy,Behavior ScaleUp Policies,Behavior ScaleDown StabilizationWindow,Behavior ScaleDown SelectPolicy,Behavior ScaleDown Policies,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value,ContainerResource Container
nidiodolfini,terraform-infraIII-t1,k8s/hpa/hpa-nginx.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,50,
aboigues,kubernetes-formation,tp06/04-production-best-practices/14-hpa.yaml,False,autoscaling/v2,Deployment,True,0.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 15}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 15}]",300,,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 60}]",2,10,Resource,cpu,Utilization,70,
aboigues,kubernetes-formation,tp06/04-production-best-practices/14-hpa.yaml,False,autoscaling/v2,Deployment,True,0.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 15}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 15}]",300,,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 60}]",2,10,Resource,memory,Utilization,80,
gintatkinson,xgai-cogctrl,manifests/l3_attackmitigatorservice.yaml,False,autoscaling/v2,Deployment,True,,,,120,,,1,10,Resource,cpu,Utilization,80,
ceomerf,okuz_ai,backend/k8s/planning-service.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 15}]",300,,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 60}]",4,25,Resource,cpu,Utilization,70,
ceomerf,okuz_ai,backend/k8s/planning-service.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 15}]",300,,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 60}]",4,25,Resource,memory,Utilization,80,
GSA,MasteringAgenticAISystems_supplementals,more_examples/part_07/nim_production_deployment.yaml,False,autoscaling/v2,Deployment,True,0.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 30}]",300,,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 60}]",3,10,Resource,cpu,Utilization,70,
ClaudiuBogdan,hack-for-facts-eb-client,k8s/base/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,8,Resource,cpu,Utilization,60,
ClaudiuBogdan,hack-for-facts-eb-client,k8s/base/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,8,Resource,memory,Utilization,70,
pandaluk,restaurante-34,src/infra/hpa/api_hpa.yml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,cpu,Utilization,50,
dotbalo,k8s,k8s-custom-hpa/podinfo/podinfo-hpa.yaml,False,autoscaling/v2beta1,Deployment,False,,,,,,,2,10,Resource,cpu,,,
